Transaction ID,Customer ID,Customer Name,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied
TXN_3725741,CUST_09,Belinda Clark,Beverages,Item_15_BEV,28.33,8.00,$226.64,Credit Card,Online,24/10/2025,FALSE
TXN_5638736,CUST_05,Monica Henry,Food,Item_6_FOOD,18.92,2.93,$55.46,Cash,Online,10/08/2023,FALSE
TXN_7868790,CUST_09,Megan Schaefer,Food,Item_0_MISC,12.15,9.00,$109.35,CreditCard,In-store,20/07/2025,TRUE
TXN_3970918,CUST_14,Ricky Delgado,Food,Item_0_MISC,6.73,19.86,$133.65,Credit Card,In-store,02/05/2024,TRUE
TXN_5534852,CUST_24,Chad Larson,Beverages,Item_16_BEV,19.57,5.00,$97.85,Digital Wallet,In-store,30/10/2023,FALSE
TXN_2527267,CUST_18,Andrew Harris,Furniture,UNKNOWN,6.65,10.00,$66.53,Credit Card,Online,25/10/2023,UNKNOWN
TXN_2212414,CUST_10,Tracy Vasquez,Butchers,Item_13_BUT,7.68,3.00,$23.04,CreditCard,Online,07/04/2025,FALSE
TXN_1348489,CUST_03,Matthew Allen,Beverages,Item_16_BEV,13.39,7.00,$93.73,CreditCard,In-store,12/05/2024,TRUE
TXN_5359573,CUST_12,Kelly Jimenez,Food,Item_0_MISC,14.96,4.00,$59.84,Credit Card,In-store,16/12/2025,UNKNOWN
TXN_4232362,CUST_06,Tiffany Porter,Patisserie,Item_0_MISC,12.30,5.00,$61.50,Digital Wallet,Online,03/04/2025,UNKNOWN
TXN_1601025,CUST_29,Jerry Baird,Food,Item_6_FOOD,11.68,9.00,$105.12,Digital Wallet,In-store,27/10/2025,UNKNOWN
TXN_1949853,CUST_26,Jack Martinez,Patisserie,Item_0_MISC,27.93,2.00,$55.86,Cash,In-store,12/04/2023,TRUE
TXN_6314527,CUST_31,Joshua Benitez,Milk Products,Item_17_MILK,7.50,3.00,$22.50,Credit Card,Online,23/05/2024,TRUE
TXN_7041327,CUST_18,Stephen Sanford,Food,UNKNOWN,8.88,5.00,$44.40,Credit Card,In-store,19/07/2025,FALSE
TXN_3445168,CUST_46,Anthony Dominguez,Milk Products,Item_18_MILK,27.47,9.00,$247.23,Cash,Online,31/03/2023,UNKNOWN
TXN_7684957,CUST_18,Heather Hunt,Butchers,Item_12_BUT,20.94,6.00,$125.64,Digital Wallet,In-store,02/10/2025,TRUE
TXN_3982887,CUST_18,Amber Hayes,Milk Products,Item_18_MILK,27.25,8.86,$241.45,Digital Wallet,Online,13/02/2024,FALSE
TXN_9669897,CUST_15,Eric Lynch,Furniture,Item_16_FUR,29.77,7.00,$208.39,Digital Wallet,In-store,14/05/2025,UNKNOWN
TXN_9997895,CUST_47,Trevor Smith Jr.,Beverages,Item_0_MISC,26.12,9.00,$235.08,CreditCard,Online,07/12/2025,UNKNOWN
TXN_6603258,CUST_11,Mr. Anthony Jones Jr.,Beverages,Item_0_MISC,27.53,6.00,$165.18,Cash,Online,01/08/2024,TRUE
TXN_5377348,CUST_38,Stephanie Griffin,Beverages,Item_0_MISC,18.77,7.00,$131.39,Credit Card,In-store,04/04/2023,UNKNOWN
TXN_4968174,CUST_19,Leah Skinner,Food,Item_0_MISC,9.92,8.00,$79.36,CreditCard,Online,02/05/2025,UNKNOWN
TXN_1187625,CUST_23,Kathleen Boone,Patisserie,Item_10_PAT,9.92,8.00,$79.36,CreditCard,In-store,05/08/2025,FALSE
TXN_2179113,CUST_14,Stephen Gutierrez,Patisserie,Item_10_PAT,34.95,6.00,$209.70,Digital Wallet,Online,09/06/2024,FALSE
TXN_4891896,CUST_41,Stephen Lee,Patisserie,Item_11_PAT,31.47,1.00,$31.47,Digital Wallet,In-store,02/02/2025,UNKNOWN
TXN_8575089,CUST_38,Scott Henderson,Milk Products,UNKNOWN,21.32,10.00,$213.20,Digital Wallet,Online,04/08/2023,TRUE
TXN_6674083,CUST_02,Anthony Branch,Milk Products,Item_17_MILK,16.75,10.00,$167.50,Digital Wallet,In-store,16/01/2026,FALSE
TXN_3520922,CUST_29,Kyle Warner,Patisserie,Item_0_MISC,5.31,8.00,$42.44,Digital Wallet,In-store,07/02/2025,TRUE
TXN_3601134,CUST_01,Melissa Jennings,Butchers,Item_13_BUT,8.60,10.00,$86.00,Credit Card,Online,10/05/2023,UNKNOWN
TXN_9904275,CUST_01,Gerald Shelton,Butchers,Item_13_BUT,8.39,10.00,$83.90,CreditCard,Online,22/02/2025,TRUE
TXN_5312430,CUST_48,David Richardson,Milk Products,Item_0_MISC,15.02,9.00,$135.18,CreditCard,In-store,05/01/2024,FALSE
TXN_9323318,CUST_34,John Miller,Beverages,UNKNOWN,27.48,1.00,$27.48,Digital Wallet,Online,12/03/2024,FALSE
TXN_8174938,CUST_11,Joshua Ferrell,Milk Products,Item_17_MILK,13.41,4.00,$53.64,Digital Wallet,Online,10/10/2025,TRUE
TXN_7448547,CUST_46,Allison Smith,Beverages,Item_0_MISC,7.11,4.00,$28.44,Digital Wallet,Online,02/01/2024,UNKNOWN
TXN_3776529,CUST_25,Justin Mejia,Furniture,Item_16_FUR,25.57,1.00,$25.57,Credit Card,In-store,06/08/2024,TRUE
TXN_8327056,CUST_38,Matthew Smith,Beverages,Item_15_BEV,12.35,6.00,$74.10,Credit Card,In-store,08/04/2024,FALSE
TXN_3109068,CUST_07,Terry Henderson,Milk Products,Item_0_MISC,27.14,8.00,$217.12,Digital Wallet,In-store,20/05/2024,TRUE
TXN_8364680,CUST_16,Melissa Friedman,Furniture,Item_16_FUR,21.87,2.00,$43.74,Digital Wallet,Online,28/11/2025,FALSE
TXN_2970502,CUST_17,Suzanne Gibson,Food,Item_2_FOOD,32.00,1.00,$32.00,Digital Wallet,In-store,19/12/2025,TRUE
TXN_5315939,CUST_09,Lee Wong,Butchers,Item_13_BUT,33.16,2.00,$66.32,Cash,Online,07/06/2024,TRUE
TXN_5100303,CUST_14,Justin Walker,Furniture,Item_16_FUR,28.03,10.00,$280.30,Digital Wallet,Online,20/09/2024,UNKNOWN
TXN_7081877,CUST_02,Christopher Arnold,Milk Products,Item_0_MISC,17.76,2.00,$35.52,CreditCard,Online,28/01/2024,UNKNOWN
TXN_1315810,CUST_04,Michael Armstrong,Furniture,Item_17_FUR,31.98,2.00,$63.96,Cash,In-store,09/09/2024,FALSE
TXN_7719831,CUST_24,Paul Gonzalez,Beverages,Item_0_MISC,13.47,4.00,$53.88,Cash,Online,12/04/2025,TRUE
TXN_7984344,CUST_07,Kyle Aguirre,Food,Item_6_FOOD,14.76,3.00,$44.28,CreditCard,In-store,10/05/2023,UNKNOWN
TXN_2743753,CUST_03,James White MD,Patisserie,Item_0_MISC,13.61,2.00,$27.22,CreditCard,Online,16/05/2025,UNKNOWN
TXN_6203016,CUST_26,Brandon Martinez,Patisserie,Item_0_MISC,16.80,9.00,$151.20,CreditCard,In-store,02/11/2023,FALSE
TXN_1326141,CUST_48,Margaret Weber,Furniture,Item_16_FUR,20.09,1.00,$20.09,CreditCard,In-store,02/10/2025,FALSE
TXN_7662473,CUST_34,Nathaniel York,Beverages,Item_0_MISC,28.46,4.00,$113.84,Cash,In-store,18/12/2025,FALSE
TXN_6518291,CUST_45,Richard Bennett,Milk Products,Item_0_MISC,17.86,7.00,$125.02,Digital Wallet,Online,12/05/2024,TRUE
TXN_9657024,CUST_25,Jessica Stokes,Milk Products,Item_0_MISC,11.08,8.00,$88.64,Cash,Online,21/12/2024,UNKNOWN
TXN_9992149,CUST_24,Andres Long,Beverages,Item_15_BEV,23.15,1.00,$23.15,Credit Card,In-store,03/09/2023,TRUE
TXN_5782544,CUST_36,Jeffrey Cabrera,Beverages,UNKNOWN,21.50,10.00,$215.00,Digital Wallet,Online,04/06/2025,UNKNOWN
TXN_5092431,CUST_37,Judy Miller,Beverages,Item_0_MISC,20.35,9.00,$183.15,Digital Wallet,In-store,18/05/2024,FALSE
TXN_9025035,CUST_11,Lisa Buck,Milk Products,Item_18_MILK,25.25,9.00,$227.25,Digital Wallet,In-store,25/08/2023,TRUE
TXN_4855930,CUST_18,Andrew Brown,Furniture,Item_16_FUR,34.99,6.00,$209.94,Digital Wallet,Online,18/02/2025,UNKNOWN
TXN_8442487,CUST_05,Janet Hernandez,Food,Item_0_MISC,13.55,10.00,$135.50,CreditCard,In-store,02/01/2026,UNKNOWN
TXN_2206012,CUST_33,Rachel Beck,Food,Item_1_FOOD,27.61,10.00,$276.10,Credit Card,In-store,22/05/2023,UNKNOWN
TXN_3095677,CUST_37,Keith Jones,Furniture,Item_17_FUR,18.54,10.00,$185.40,Cash,Online,31/01/2024,UNKNOWN
TXN_3171883,CUST_34,Charles Gutierrez,Food,Item_0_MISC,10.38,9.00,$93.42,Digital Wallet,In-store,11/06/2023,UNKNOWN
TXN_5555038,CUST_01,Brittany Holloway,Food,Item_2_FOOD,14.13,2.00,$28.26,Digital Wallet,In-store,02/04/2025,FALSE
TXN_1066546,CUST_33,Charles Henderson,Food,Item_0_MISC,29.69,5.00,$148.45,Digital Wallet,Online,30/01/2025,FALSE
TXN_5762696,CUST_25,Colleen Williams,Furniture,Item_17_FUR,24.91,4.00,$99.64,CreditCard,Online,14/01/2025,FALSE
TXN_7132555,CUST_35,Tyler Diaz,Patisserie,Item_10_PAT,16.05,7.00,$112.35,CreditCard,In-store,08/06/2024,TRUE
TXN_2096892,CUST_47,Alisha Evans,Beverages,Item_0_MISC,24.30,8.42,$204.67,Cash,In-store,14/06/2023,FALSE
TXN_6549737,CUST_04,Kevin Monroe,Beverages,Item_0_MISC,25.25,9.00,$227.25,Digital Wallet,In-store,27/05/2023,FALSE
TXN_1893983,CUST_21,Michael Flynn,Milk Products,Item_18_MILK,17.94,5.00,$89.70,Cash,In-store,23/08/2023,FALSE
TXN_2857835,CUST_38,Mark Allen,Beverages,Item_15_BEV,27.94,5.00,$139.70,Cash,Online,09/02/2025,FALSE
TXN_6176664,CUST_15,Patrick Hernandez,Patisserie,Item_0_MISC,15.24,1.00,$15.24,Credit Card,Online,01/08/2023,TRUE
TXN_6876767,CUST_40,Cynthia Reyes,Beverages,Item_0_MISC,15.83,3.00,$47.49,Digital Wallet,Online,10/07/2023,TRUE
TXN_6007292,CUST_31,Michael Michael,Beverages,Item_0_MISC,33.92,4.00,$135.68,Digital Wallet,Online,04/04/2023,UNKNOWN
TXN_6968661,CUST_20,Jose Knight,Butchers,Item_13_BUT,26.01,4.00,$104.04,CreditCard,Online,14/04/2025,FALSE
TXN_8164787,CUST_41,Kimberly Lee,Butchers,Item_13_BUT,25.75,4.00,$103.00,CreditCard,In-store,23/08/2025,TRUE
TXN_3872770,CUST_21,Douglas Robinson,Food,Item_0_MISC,11.37,9.00,$102.33,CreditCard,Online,25/07/2024,FALSE
TXN_4452536,CUST_36,Matthew Marquez,Food,Item_0_MISC,29.35,8.31,$243.89,CreditCard,In-store,19/09/2025,TRUE
TXN_6028741,CUST_29,Ashley Simon,Beverages,Item_16_BEV,16.79,9.00,$151.11,Credit Card,In-store,20/02/2025,TRUE
TXN_8707009,CUST_44,Timothy Mccarthy,Food,Item_0_MISC,25.06,6.00,$150.36,Digital Wallet,In-store,16/03/2026,FALSE
TXN_2246588,CUST_24,Joshua Hampton,Milk Products,Item_18_MILK,26.74,5.00,$133.70,Cash,Online,06/01/2024,UNKNOWN
TXN_2550717,CUST_48,Katherine Giles,Furniture,Item_17_FUR,25.42,4.00,$101.68,CreditCard,In-store,19/10/2024,FALSE
TXN_1430081,CUST_48,Stephanie Johnson,Patisserie,Item_0_MISC,11.27,5.00,$56.35,Digital Wallet,In-store,24/03/2024,TRUE
TXN_7332804,CUST_46,Heidi Vaughn,Food,UNKNOWN,13.97,5.00,$69.85,Cash,In-store,18/09/2023,TRUE
TXN_1063832,CUST_12,Charles Ramirez,Butchers,Item_12_BUT,13.62,10.00,$136.20,Credit Card,Online,01/12/2023,FALSE
TXN_5902531,CUST_09,Joel Sutton,Milk Products,Item_0_MISC,30.78,10.00,$307.80,Cash,In-store,27/09/2024,FALSE
TXN_1989328,CUST_44,Steven Hill,Beverages,Item_0_MISC,26.14,2.00,$52.28,Credit Card,In-store,25/10/2023,FALSE
TXN_3365600,CUST_17,Cory Lewis,Milk Products,Item_0_MISC,6.31,5.00,$31.55,CreditCard,Online,07/10/2024,UNKNOWN
TXN_8579034,CUST_15,Richard Johnson,Furniture,Item_16_FUR,20.10,8.00,$160.80,Digital Wallet,Online,15/11/2025,UNKNOWN
TXN_8144378,CUST_18,Brandon Simmons,Food,Item_1_FOOD,35.22,8.00,$281.76,Credit Card,In-store,14/08/2024,FALSE
TXN_2448768,CUST_07,Michelle Robertson,Patisserie,Item_11_PAT,26.34,10.00,$263.40,Credit Card,In-store,26/07/2023,UNKNOWN
TXN_6773096,CUST_18,Mandy Gordon,Milk Products,Item_18_MILK,6.49,5.00,$32.45,Digital Wallet,Online,22/06/2024,UNKNOWN
TXN_5137068,CUST_24,Brandi Williams,Patisserie,Item_0_MISC,25.78,10.00,$257.80,Digital Wallet,In-store,27/12/2025,FALSE
TXN_2374032,CUST_14,Danielle Schwartz,Furniture,Item_16_FUR,31.65,1.00,$31.65,CreditCard,In-store,09/03/2025,TRUE
TXN_6032676,CUST_46,Kyle Watkins,Milk Products,Item_0_MISC,15.82,1.00,$15.82,Credit Card,Online,23/03/2024,UNKNOWN
TXN_6811487,CUST_07,Brian Harrison,Beverages,Item_0_MISC,5.77,5.00,$28.85,Digital Wallet,Online,14/09/2024,TRUE
TXN_4355858,CUST_34,Jeremy Wu,Milk Products,UNKNOWN,28.62,1.00,$28.62,Cash,In-store,29/03/2023,UNKNOWN
TXN_1965015,CUST_03,Alan Bennett,Milk Products,Item_18_MILK,13.70,9.00,$123.30,Digital Wallet,In-store,16/11/2024,UNKNOWN
TXN_3738934,CUST_05,Jon French,Patisserie,UNKNOWN,29.48,9.00,$265.32,Credit Card,In-store,04/07/2024,FALSE
TXN_7140444,CUST_17,Kelsey Lee,Butchers,Item_12_BUT,24.13,3.00,$72.39,Credit Card,Online,13/09/2025,TRUE
TXN_1616204,CUST_17,Melinda Brown,Beverages,Item_0_MISC,9.66,7.00,$67.62,Cash,In-store,23/03/2024,UNKNOWN
TXN_7044317,CUST_48,Robert Cervantes,Patisserie,Item_10_PAT,34.77,3.00,$104.31,Digital Wallet,In-store,11/08/2023,FALSE
TXN_8604020,CUST_38,Elizabeth Wheeler,Butchers,Item_13_BUT,11.11,8.00,$88.88,Digital Wallet,Online,08/02/2025,TRUE
TXN_2366747,CUST_25,Felicia Saunders,Beverages,Item_0_MISC,21.73,1.00,$21.73,CreditCard,In-store,07/06/2023,TRUE
TXN_3385651,CUST_06,Julie Tapia,Patisserie,Item_10_PAT,10.29,6.00,$61.74,Cash,Online,16/05/2023,FALSE
TXN_9798578,CUST_44,Michael Coffey,Patisserie,Item_10_PAT,6.79,6.00,$40.74,Digital Wallet,Online,27/03/2024,FALSE
TXN_1027259,CUST_18,Lisa Smith,Butchers,Item_13_BUT,16.59,3.00,$49.77,CreditCard,Online,29/11/2024,TRUE
TXN_8601158,CUST_15,Timothy Nelson,Butchers,Item_12_BUT,22.43,9.00,$201.87,Cash,Online,15/07/2025,TRUE
TXN_7517991,CUST_26,Patricia Cordova,Patisserie,Item_0_MISC,10.21,7.00,$71.47,Digital Wallet,Online,24/11/2025,TRUE
TXN_7018508,CUST_48,Jessica Kim,Patisserie,Item_0_MISC,14.24,4.27,$60.82,Digital Wallet,In-store,18/02/2024,UNKNOWN
TXN_5226222,CUST_18,Nicole Franco,Beverages,Item_16_BEV,7.87,9.00,$70.83,Cash,In-store,12/03/2026,TRUE
TXN_9262350,CUST_45,David Pratt,Butchers,Item_13_BUT,19.57,7.00,$136.99,CreditCard,Online,30/07/2025,UNKNOWN
TXN_3600423,CUST_24,Lori Oconnell,Beverages,Item_0_MISC,21.39,10.00,$213.90,Cash,In-store,10/09/2024,FALSE
TXN_8626341,CUST_34,Allen Smith,Patisserie,Item_0_MISC,19.94,1.00,$19.94,Cash,In-store,13/06/2023,FALSE
TXN_6623773,CUST_36,Mr. Jesse Williams,Beverages,Item_0_MISC,31.17,4.00,$124.68,Cash,Online,06/04/2025,UNKNOWN
TXN_1426526,CUST_08,Elijah Acosta,Milk Products,Item_18_MILK,29.50,7.00,$206.50,Digital Wallet,In-store,29/11/2024,TRUE
TXN_9396342,CUST_37,Julie Riley,Food,Item_0_MISC,12.42,10.00,$124.20,Digital Wallet,In-store,22/04/2024,TRUE
TXN_1873500,CUST_34,Michele Dunn,Beverages,Item_0_MISC,14.02,5.00,$70.10,Digital Wallet,In-store,20/06/2025,TRUE
TXN_6404152,CUST_04,Kim Moore,Food,Item_0_MISC,29.69,5.00,$148.45,Cash,In-store,25/01/2025,TRUE
TXN_2757170,CUST_14,Donald Arnold,Furniture,Item_16_FUR,27.30,9.00,$245.70,CreditCard,Online,12/08/2024,FALSE
TXN_2361864,CUST_15,Jasmine Thompson,Milk Products,Item_0_MISC,9.06,5.00,$45.30,Credit Card,In-store,02/05/2024,FALSE
TXN_7458472,CUST_47,Amanda Walsh,Furniture,Item_17_FUR,10.79,5.00,$53.95,Digital Wallet,In-store,14/09/2024,TRUE
TXN_4984740,CUST_04,Jennifer Tran,Furniture,Item_16_FUR,9.89,9.00,$89.01,Cash,Online,31/03/2024,FALSE
TXN_5345751,CUST_27,Paul Gaines,Beverages,Item_15_BEV,13.57,2.00,$27.14,CreditCard,Online,17/02/2025,TRUE
TXN_8658090,CUST_18,Christopher Cook,Butchers,Item_12_BUT,29.56,6.00,$177.36,Credit Card,Online,15/04/2023,UNKNOWN
TXN_7669525,CUST_29,Robert Escobar,Milk Products,Item_0_MISC,32.40,10.00,$324.00,Credit Card,Online,31/07/2024,FALSE
TXN_1146935,CUST_03,Rita Johnson,Furniture,Item_17_FUR,29.80,5.00,$149.00,CreditCard,Online,25/06/2025,TRUE
TXN_6067712,CUST_03,Yolanda Martin,Patisserie,Item_11_PAT,34.14,9.00,$307.26,Digital Wallet,In-store,01/12/2024,UNKNOWN
TXN_8888542,CUST_04,Jessica Ho,Furniture,Item_17_FUR,34.11,9.00,$306.99,Digital Wallet,Online,28/03/2023,UNKNOWN
TXN_9655482,CUST_01,Debra Mills,Beverages,Item_0_MISC,7.67,2.00,$15.34,Credit Card,In-store,27/07/2023,FALSE
TXN_4989193,CUST_40,Robin Burch,Food,Item_6_FOOD,29.88,2.00,$59.76,Credit Card,In-store,25/11/2024,TRUE
TXN_4390930,CUST_20,Shawn Solomon,Furniture,Item_16_FUR,29.26,1.00,$29.26,Digital Wallet,In-store,29/06/2023,TRUE
TXN_9717310,CUST_44,Karen Anderson,Milk Products,Item_17_MILK,25.95,9.00,$233.55,Credit Card,Online,01/04/2025,TRUE
TXN_5444017,CUST_04,Brent Fox,Beverages,Item_0_MISC,29.22,1.00,$29.22,Digital Wallet,Online,15/02/2024,TRUE
TXN_4511800,CUST_40,Jennifer Payne,Milk Products,Item_0_MISC,8.20,9.00,$73.80,Digital Wallet,In-store,24/10/2025,UNKNOWN
TXN_6149601,CUST_05,Susan Chavez,Food,Item_1_FOOD,12.79,7.00,$89.53,Digital Wallet,In-store,20/11/2025,TRUE
TXN_2335202,CUST_46,Anne Hensley,Furniture,Item_16_FUR,25.00,10.00,$250.00,Digital Wallet,In-store,14/08/2023,TRUE
TXN_7105847,CUST_23,Kristen Bond,Butchers,Item_12_BUT,17.31,3.00,$51.93,Cash,Online,13/05/2024,FALSE
TXN_6407766,CUST_22,Austin Edwards DDS,Milk Products,Item_18_MILK,12.02,3.00,$36.06,Cash,Online,18/12/2024,FALSE
TXN_6742077,CUST_45,Franklin Young,Furniture,Item_17_FUR,18.46,8.00,$147.68,Cash,In-store,30/06/2025,UNKNOWN
TXN_3634366,CUST_09,Heather Miles,Food,Item_2_FOOD,34.33,5.00,$171.65,Digital Wallet,In-store,10/02/2026,FALSE
TXN_4978009,CUST_14,Melissa Martinez,Food,Item_0_MISC,11.45,10.00,$114.50,Digital Wallet,Online,25/10/2023,TRUE
TXN_5548381,CUST_07,Madison Marks,Food,Item_2_FOOD,34.22,4.00,$136.88,Digital Wallet,In-store,27/03/2024,UNKNOWN
TXN_1972632,CUST_25,Carla Barton,Patisserie,Item_10_PAT,28.53,5.00,$142.65,CreditCard,In-store,25/01/2025,UNKNOWN
TXN_7690061,CUST_17,Joel Kennedy,Butchers,Item_12_BUT,15.83,2.00,$31.66,Cash,Online,27/07/2023,UNKNOWN
TXN_5888607,CUST_34,Michael Johnson,Patisserie,UNKNOWN,32.06,9.00,$288.54,CreditCard,In-store,28/10/2023,TRUE
TXN_9121043,CUST_36,Luke James,Milk Products,Item_17_MILK,15.02,9.00,$135.18,Digital Wallet,Online,22/07/2025,UNKNOWN
TXN_8343409,CUST_41,Savannah Gray,Furniture,Item_17_FUR,16.11,4.00,$64.44,CreditCard,In-store,01/09/2025,UNKNOWN
TXN_7769605,CUST_26,Anthony Daniel,Patisserie,Item_11_PAT,34.23,7.00,$239.61,CreditCard,In-store,02/02/2024,UNKNOWN
TXN_7208260,CUST_24,Robert Scott,Patisserie,Item_10_PAT,19.71,5.00,$98.55,Cash,Online,15/04/2025,UNKNOWN
TXN_3072041,CUST_12,Lauren Aguilar,Furniture,Item_17_FUR,25.02,7.00,$175.14,Digital Wallet,In-store,10/06/2025,FALSE
TXN_8540001,CUST_35,Patricia Hensley,Milk Products,Item_0_MISC,6.61,8.00,$52.88,Credit Card,Online,03/12/2024,UNKNOWN
TXN_8659289,CUST_48,Rhonda Kelly,Food,Item_0_MISC,26.56,3.00,$79.68,Cash,In-store,22/03/2024,FALSE
TXN_9153851,CUST_25,Nicholas Howell,Food,Item_0_MISC,28.97,10.00,$289.70,Cash,Online,07/08/2023,UNKNOWN
TXN_3685197,CUST_43,Kayla Green,Furniture,Item_17_FUR,34.00,5.00,$170.00,Digital Wallet,Online,15/04/2023,FALSE
TXN_5549477,CUST_28,Michael Jones,Milk Products,Item_0_MISC,20.09,4.00,$80.36,Digital Wallet,Online,07/01/2025,UNKNOWN
TXN_8262780,CUST_18,Alyssa Hunter,Patisserie,Item_11_PAT,10.88,4.00,$43.52,Digital Wallet,Online,20/09/2024,UNKNOWN
TXN_3807848,CUST_28,Vincent Tanner,Patisserie,UNKNOWN,19.31,10.00,$193.10,Digital Wallet,Online,18/10/2023,UNKNOWN
TXN_4165529,CUST_28,Brian Garcia,Milk Products,Item_0_MISC,30.41,2.00,$60.82,Digital Wallet,Online,09/10/2024,TRUE
TXN_8937391,CUST_05,Theresa Mckay,Beverages,Item_16_BEV,18.02,2.00,$36.04,Credit Card,In-store,16/09/2024,UNKNOWN
TXN_3988349,CUST_08,Kimberly Tyler,Milk Products,Item_18_MILK,6.97,3.00,$20.91,CreditCard,In-store,06/02/2025,FALSE
TXN_9341936,CUST_11,Matthew Norman,Milk Products,Item_0_MISC,17.10,2.00,$34.20,Credit Card,In-store,12/11/2024,UNKNOWN
TXN_9382813,CUST_15,Andrew Johnson,Milk Products,Item_18_MILK,8.33,7.00,$58.31,Cash,In-store,05/04/2023,TRUE
TXN_6134489,CUST_13,Brett Rodriguez,Patisserie,Item_11_PAT,10.69,2.00,$21.38,Digital Wallet,In-store,26/05/2023,UNKNOWN
TXN_5015539,CUST_03,Sheila Hamilton,Patisserie,Item_0_MISC,11.79,9.00,$106.11,CreditCard,Online,08/03/2025,UNKNOWN
TXN_2652638,CUST_33,Megan Johnson,Beverages,Item_0_MISC,15.56,8.00,$124.48,Digital Wallet,In-store,11/01/2024,TRUE
TXN_7482257,CUST_41,Misty Henderson,Patisserie,Item_0_MISC,10.90,2.00,$21.80,Cash,In-store,14/02/2025,FALSE
TXN_1109684,CUST_11,Jerry Zimmerman,Furniture,Item_16_FUR,15.52,1.00,$15.52,Cash,In-store,07/07/2024,UNKNOWN
TXN_1063780,CUST_46,Michael Whitehead,Patisserie,Item_11_PAT,9.81,10.00,$98.10,Digital Wallet,Online,25/03/2023,FALSE
TXN_4447278,CUST_40,Tamara Mcdonald,Patisserie,UNKNOWN,9.15,8.00,$73.20,Digital Wallet,Online,19/08/2024,TRUE
TXN_1015762,CUST_37,Catherine Li,Food,Item_1_FOOD,12.44,7.00,$87.08,Digital Wallet,Online,10/07/2023,FALSE
TXN_3680043,CUST_26,Michael Odonnell,Food,Item_0_MISC,13.46,7.00,$94.22,Cash,Online,16/11/2023,TRUE
TXN_1584772,CUST_12,Gabrielle Rojas,Milk Products,Item_17_MILK,27.62,1.00,$27.62,Credit Card,Online,15/04/2025,FALSE
TXN_8188191,CUST_08,Shaun Silva,Food,Item_0_MISC,32.84,1.00,$32.84,Credit Card,In-store,15/07/2024,TRUE
TXN_4301858,CUST_06,Valerie Sullivan,Beverages,Item_0_MISC,9.41,4.00,$37.64,Digital Wallet,Online,28/04/2024,TRUE
TXN_6087765,CUST_40,Pamela Beard,Food,Item_1_FOOD,11.85,6.00,$71.10,Credit Card,In-store,20/02/2024,UNKNOWN
TXN_5095388,CUST_16,James Roth,Food,Item_1_FOOD,15.12,2.00,$30.24,CreditCard,Online,11/02/2024,FALSE
TXN_1976111,CUST_31,Edward Smith,Furniture,Item_17_FUR,5.74,1.00,$5.74,Cash,Online,01/02/2026,FALSE
TXN_8801524,CUST_23,Steven Pena,Food,UNKNOWN,23.60,7.00,$165.20,Digital Wallet,In-store,19/10/2025,FALSE
TXN_7869719,CUST_09,Kayla Smith,Milk Products,Item_18_MILK,6.55,5.00,$32.75,CreditCard,In-store,06/09/2024,UNKNOWN
